Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/acic/acic_1-10_train_setting_69.npz
Test data:     data/acic/acic_1-10_test_setting_69.npz
Loaded data with shape [3601,55]
Defining graph...

Training on experiment 1/10...
900	Obj: 10.164,	F: 3.429,	Cf: 3.459,	Imb: 0.12,	Val: 3.604,	ValImb: 0.14,	ValObj: 11.20
1000	Obj: 10.030,	F: 3.424,	Cf: 3.582,	Imb: 0.13,	Val: 3.653,	ValImb: 0.14,	ValObj: 11.44
1100	Obj: 10.335,	F: 3.513,	Cf: 3.875,	Imb: 0.12,	Val: 3.691,	ValImb: 0.13,	ValObj: 11.52
1200	Obj: 9.408,	F: 3.305,	Cf: 3.467,	Imb: 0.14,	Val: 3.589,	ValImb: 0.15,	ValObj: 11.13
1300	Obj: 8.132,	F: 3.088,	Cf: 3.275,	Imb: 0.12,	Val: 3.417,	ValImb: 0.13,	ValObj: 10.02
1400	Obj: 8.420,	F: 3.149,	Cf: 3.441,	Imb: 0.14,	Val: 3.558,	ValImb: 0.15,	ValObj: 10.84
1500	Obj: 8.976,	F: 3.245,	Cf: 3.379,	Imb: 0.13,	Val: 3.618,	ValImb: 0.14,	ValObj: 11.22
1600	Obj: 7.264,	F: 2.917,	Cf: 3.185,	Imb: 0.13,	Val: 3.365,	ValImb: 0.15,	ValObj: 9.78
1700	Obj: 9.612,	F: 3.352,	Cf: 3.576,	Imb: 0.12,	Val: 3.646,	ValImb: 0.12,	ValObj: 11.48
1800	Obj: 7.417,	F: 2.945,	Cf: 3.229,	Imb: 0.12,	Val: 3.395,	ValImb: 0.13,	ValObj: 9.96
1900	Obj: 7.758,	F: 3.030,	Cf: 3.412,	Imb: 0.12,	Val: 3.439,	ValImb: 0.14,	ValObj: 10.14
2000	Obj: 7.195,	F: 2.918,	Cf: 3.287,	Imb: 0.12,	Val: 3.369,	ValImb: 0.13,	ValObj: 9.75
2100	Obj: 7.986,	F: 3.065,	Cf: 3.282,	Imb: 0.12,	Val: 3.441,	ValImb: 0.12,	ValObj: 10.19
2200	Obj: 8.073,	F: 3.087,	Cf: 3.431,	Imb: 0.15,	Val: 3.717,	ValImb: 0.15,	ValObj: 11.83
2300	Obj: 12.611,	F: 3.915,	Cf: 4.219,	Imb: 0.12,	Val: 4.031,	ValImb: 0.13,	ValObj: 13.44
2400	Obj: 8.811,	F: 3.197,	Cf: 3.382,	Imb: 0.12,	Val: 3.467,	ValImb: 0.14,	ValObj: 10.39
2500	Obj: 7.345,	F: 2.927,	Cf: 3.197,	Imb: 0.14,	Val: 3.431,	ValImb: 0.15,	ValObj: 10.17
2600	Obj: 6.254,	F: 2.708,	Cf: 3.105,	Imb: 0.14,	Val: 3.303,	ValImb: 0.16,	ValObj: 9.44
2700	Obj: 7.990,	F: 3.080,	Cf: 3.293,	Imb: 0.14,	Val: 3.567,	ValImb: 0.14,	ValObj: 10.86
2800	Obj: 6.022,	F: 2.661,	Cf: 3.043,	Imb: 0.14,	Val: 3.357,	ValImb: 0.15,	ValObj: 9.72
2900	Obj: 5.820,	F: 2.613,	Cf: 3.075,	Imb: 0.15,	Val: 3.378,	ValImb: 0.16,	ValObj: 9.90
2999	Obj: 5.581,	F: 2.556,	Cf: 3.012,	Imb: 0.16,	Val: 3.325,	ValImb: 0.16,	ValObj: 9.59
Saving result to results/acic/setting_69/results_20220103_133955-155581/...

Training on experiment 5/10...
0	Obj: 22.220,	F: 5.216,	Cf: 5.540,	Imb: 0.04,	Val: 4.920,	ValImb: 0.041,	ValObj: 19.95
100	Obj: 15.285,	F: 4.294,	Cf: 4.917,	Imb: 0.056,	Val: 3.948,	ValImb: 0.056,	ValObj: 12.92
200	Obj: 11.186,	F: 3.673,	Cf: 4.285,	Imb: 0.033,	Val: 3.481,	ValImb: 0.036,	ValObj: 10.10
300	Obj: 8.071,	F: 3.164,	Cf: 3.632,	Imb: 0.083,	Val: 3.054,	ValImb: 0.086,	ValObj: 7.55
400	Obj: 7.219,	F: 3.010,	Cf: 3.488,	Imb: 0.084,	Val: 3.010,	ValImb: 0.089,	ValObj: 7.31
500	Obj: 4.463,	F: 2.356,	Cf: 2.708,	Imb: 0.083,	Val: 2.287,	ValImb: 0.089,	ValObj: 4.28
600	Obj: 5.287,	F: 2.537,	Cf: 3.190,	Imb: 0.098,	Val: 2.628,	ValImb: 0.11,	ValObj: 5.79
700	Obj: 3.759,	F: 2.137,	Cf: 2.517,	Imb: 0.091,	Val: 2.188,	ValImb: 0.099,	ValObj: 4.04
800	Obj: 2.917,	F: 1.893,	Cf: 2.295,	Imb: 0.1,	Val: 2.037,	ValImb: 0.11,	ValObj: 3.46
900	Obj: 2.827,	F: 1.863,	Cf: 2.371,	Imb: 0.12,	Val: 2.015,	ValImb: 0.14,	ValObj: 3.38
1000	Obj: 2.799,	F: 1.874,	Cf: 2.339,	Imb: 0.12,	Val: 2.027,	ValImb: 0.13,	ValObj: 3.33
1100	Obj: 1.759,	F: 1.477,	Cf: 2.078,	Imb: 0.12,	Val: 1.692,	ValImb: 0.13,	ValObj: 2.37
1200	Obj: 1.883,	F: 1.518,	Cf: 2.137,	Imb: 0.12,	Val: 1.733,	ValImb: 0.13,	ValObj: 2.52
1300	Obj: 1.654,	F: 1.437,	Cf: 2.054,	Imb: 0.12,	Val: 1.648,	ValImb: 0.13,	ValObj: 2.23
1400	Obj: 1.788,	F: 1.479,	Cf: 2.173,	Imb: 0.12,	Val: 1.707,	ValImb: 0.13,	ValObj: 2.43
1500	Obj: 1.677,	F: 1.447,	Cf: 1.996,	Imb: 0.12,	Val: 1.683,	ValImb: 0.13,	ValObj: 2.37
1600	Obj: 1.482,	F: 1.357,	Cf: 2.016,	Imb: 0.12,	Val: 1.624,	ValImb: 0.13,	ValObj: 2.17
1700	Obj: 1.723,	F: 1.447,	Cf: 2.063,	Imb: 0.12,	Val: 1.657,	ValImb: 0.12,	ValObj: 2.29
1800	Obj: 1.316,	F: 1.280,	Cf: 2.054,	Imb: 0.12,	Val: 1.566,	ValImb: 0.13,	ValObj: 2.02
1900	Obj: 1.496,	F: 1.356,	Cf: 2.114,	Imb: 0.11,	Val: 1.619,	ValImb: 0.12,	ValObj: 2.17
2000	Obj: 1.368,	F: 1.303,	Cf: 2.036,	Imb: 0.12,	Val: 1.576,	ValImb: 0.13,	ValObj: 2.04
2100	Obj: 1.387,	F: 1.313,	Cf: 2.096,	Imb: 0.12,	Val: 1.612,	ValImb: 0.12,	ValObj: 2.15
2200	Obj: 1.315,	F: 1.287,	Cf: 2.065,	Imb: 0.12,	Val: 1.598,	ValImb: 0.13,	ValObj: 2.07
2300	Obj: 1.262,	F: 1.254,	Cf: 2.053,	Imb: 0.13,	Val: 1.574,	ValImb: 0.14,	ValObj: 2.05
2400	Obj: 1.171,	F: 1.206,	Cf: 1.982,	Imb: 0.12,	Val: 1.545,	ValImb: 0.13,	ValObj: 1.96
2500	Obj: 1.530,	F: 1.376,	Cf: 2.168,	Imb: 0.12,	Val: 1.688,	ValImb: 0.13,	ValObj: 2.36
2600	Obj: 1.364,	F: 1.298,	Cf: 2.029,	Imb: 0.12,	Val: 1.597,	ValImb: 0.13,	ValObj: 2.12
2700	Obj: 1.355,	F: 1.287,	Cf: 1.960,	Imb: 0.12,	Val: 1.597,	ValImb: 0.13,	ValObj: 2.12
2800	Obj: 1.133,	F: 1.184,	Cf: 1.960,	Imb: 0.12,	Val: 1.525,	ValImb: 0.13,	ValObj: 1.92
2900	Obj: 1.184,	F: 1.221,	Cf: 1.973,	Imb: 0.12,	Val: 1.549,	ValImb: 0.13,	ValObj: 1.96
2999	Obj: 1.216,	F: 1.225,	Cf: 2.024,	Imb: 0.12,	Val: 1.575,	ValImb: 0.13,	ValObj: 2.05
Saving result to results/acic/setting_69/results_20220103_133955-155581/...

Training on experiment 6/10...
0	Obj: 311.489,	F: 17.623,	Cf: 18.406,	Imb: 0.029,	Val: 17.481,	ValImb: 0.028,	ValObj: 303.14
100	Obj: 13.390,	F: 4.342,	Cf: 5.440,	Imb: 0.00094,	Val: 4.542,	ValImb: 0.00094,	ValObj: 13.51
200	Obj: 13.288,	F: 4.326,	Cf: 5.464,	Imb: 0.0021,	Val: 4.522,	ValImb: 0.0023,	ValObj: 13.39
300	Obj: 13.353,	F: 4.307,	Cf: 5.360,	Imb: 0.012,	Val: 4.496,	ValImb: 0.013,	ValObj: 13.33
400	Obj: 8.437,	F: 3.281,	Cf: 5.055,	Imb: 0.05,	Val: 3.505,	ValImb: 0.054,	ValObj: 8.44
500	Obj: 7.186,	F: 2.965,	Cf: 5.092,	Imb: 0.038,	Val: 3.098,	ValImb: 0.045,	ValObj: 6.76
600	Obj: 7.293,	F: 2.981,	Cf: 5.092,	Imb: 0.036,	Val: 3.006,	ValImb: 0.037,	ValObj: 6.41
700	Obj: 6.426,	F: 2.751,	Cf: 5.145,	Imb: 0.047,	Val: 2.839,	ValImb: 0.046,	ValObj: 5.83
800	Obj: 7.376,	F: 3.009,	Cf: 5.287,	Imb: 0.045,	Val: 3.059,	ValImb: 0.045,	ValObj: 6.71
900	Obj: 6.653,	F: 2.818,	Cf: 5.161,	Imb: 0.056,	Val: 2.834,	ValImb: 0.055,	ValObj: 5.79
1000	Obj: 5.933,	F: 2.608,	Cf: 5.023,	Imb: 0.067,	Val: 2.669,	ValImb: 0.066,	ValObj: 5.22
1100	Obj: 5.799,	F: 2.569,	Cf: 4.866,	Imb: 0.078,	Val: 2.513,	ValImb: 0.077,	ValObj: 4.70
1200	Obj: 6.079,	F: 2.590,	Cf: 5.039,	Imb: 0.095,	Val: 2.684,	ValImb: 0.093,	ValObj: 5.62
1300	Obj: 5.310,	F: 2.417,	Cf: 4.674,	Imb: 0.086,	Val: 2.393,	ValImb: 0.085,	ValObj: 4.33
1400	Obj: 5.304,	F: 2.425,	Cf: 4.571,	Imb: 0.079,	Val: 2.409,	ValImb: 0.078,	ValObj: 4.43
1500	Obj: 4.447,	F: 2.246,	Cf: 4.511,	Imb: 0.11,	Val: 2.329,	ValImb: 0.1,	ValObj: 4.02
1600	Obj: 4.266,	F: 2.180,	Cf: 4.459,	Imb: 0.092,	Val: 2.279,	ValImb: 0.09,	ValObj: 3.95
1700	Obj: 5.456,	F: 2.641,	Cf: 4.603,	Imb: 0.095,	Val: 2.687,	ValImb: 0.09,	ValObj: 5.13
1800	Obj: 3.623,	F: 1.998,	Cf: 4.413,	Imb: 0.079,	Val: 2.232,	ValImb: 0.079,	ValObj: 3.84
1900	Obj: 4.724,	F: 2.469,	Cf: 4.555,	Imb: 0.075,	Val: 2.534,	ValImb: 0.073,	ValObj: 4.62
2000	Obj: 3.624,	F: 2.015,	Cf: 4.470,	Imb: 0.076,	Val: 2.384,	ValImb: 0.075,	ValObj: 4.22
2100	Obj: 3.850,	F: 1.968,	Cf: 4.471,	Imb: 0.067,	Val: 2.292,	ValImb: 0.066,	ValObj: 4.18
2200	Obj: 2.633,	F: 1.731,	Cf: 4.417,	Imb: 0.074,	Val: 2.120,	ValImb: 0.073,	ValObj: 3.48
2300	Obj: 2.516,	F: 1.677,	Cf: 4.403,	Imb: 0.072,	Val: 2.119,	ValImb: 0.071,	ValObj: 3.38
2400	Obj: 4.343,	F: 2.110,	Cf: 4.693,	Imb: 0.057,	Val: 2.343,	ValImb: 0.054,	ValObj: 4.21
2500	Obj: 2.662,	F: 1.768,	Cf: 4.375,	Imb: 0.069,	Val: 2.268,	ValImb: 0.068,	ValObj: 3.76
2600	Obj: 2.394,	F: 1.647,	Cf: 4.413,	Imb: 0.072,	Val: 2.049,	ValImb: 0.071,	ValObj: 3.24
2700	Obj: 2.063,	F: 1.547,	Cf: 4.380,	Imb: 0.074,	Val: 2.081,	ValImb: 0.074,	ValObj: 3.28
2800	Obj: 2.124,	F: 1.576,	Cf: 4.408,	Imb: 0.072,	Val: 2.095,	ValImb: 0.072,	ValObj: 3.31
